epochs,losses,size_losses,religion_losses,ethnicity_losses,religion_accuracies,ethnicity_accuracies,size_distribution_accuracies,overall_accuracies,cumulative_time_seconds,epoch_time_seconds,tau_values
1,28.823345184326172,7.94768762588501,13.822978019714355,7.052680015563965,44.08455506307535,70.16706443914082,61.82270050048828,58.69144000090149,1.8496930599212646,1.8496930599212646,0.995
2,26.436561584472656,5.6928629875183105,13.736260414123535,7.0074381828308105,43.419706784861916,70.09887487214456,65.79698920249939,59.77185695316862,3.482614517211914,1.5652430057525635,0.990025
3,25.218116760253906,4.678377151489258,13.679245948791504,6.86049222946167,43.181043300375045,70.37163314012956,67.47880578041077,60.34382740697178,5.113422632217407,1.5657846927642822,0.985074875
4,24.063291549682617,3.843747854232788,13.284222602844238,6.935322284698486,44.374360722809406,70.23525400613705,69.51662302017212,61.37541258303953,6.989435195922852,1.8130590915679932,0.9801495006250001
5,23.66425323486328,3.344125509262085,13.43897533416748,6.881153583526611,45.346062052505964,70.91714967609956,70.5500841140747,62.27109861422674,8.731471538543701,1.6790990829467773,0.9752487531218751
6,23.34217071533203,2.976395845413208,13.305561065673828,7.060213088989258,43.72655983634504,71.03648141834299,72.11326956748962,62.292103607392555,10.347323179244995,1.5530176162719727,0.9703725093562657
7,23.078458786010742,2.830601692199707,13.186990737915039,7.0608649253845215,45.24377770201159,70.54210705762019,70.92478275299072,62.236889170874164,11.948421239852905,1.5397088527679443,0.9655206468094844
8,22.416275024414062,2.5221965312957764,13.03670883178711,6.857368469238281,45.6017729287419,71.3944766450733,72.2876250743866,63.09462488273393,13.57044768333435,1.56038236618042,0.960693043575437
9,21.968177795410156,2.386674165725708,12.866485595703125,6.715017795562744,45.94272076372315,71.88885100579611,72.54660129547119,63.45939102166348,15.359558343887329,1.725083351135254,0.9558895783575597
10,22.4920711517334,2.2566909790039062,13.142864227294922,7.0925164222717285,44.57892942379816,70.81486532560518,72.68320918083191,62.692334643411755,17.311529636383057,1.8890929222106934,0.9511101304657719
11,21.89427375793457,2.1921164989471436,12.668723106384277,7.033433437347412,46.53937947494033,70.98533924309581,72.5209653377533,63.34856135192981,18.96034526824951,1.585937261581421,0.946354579813443
12,21.396011352539062,2.137383222579956,12.432843208312988,6.825784683227539,46.266621206955335,71.63314012956018,73.04180264472961,63.647187993748375,20.565548181533813,1.5412654876708984,0.9416228069143757
13,21.27754020690918,2.0602645874023438,12.366944313049316,6.850330829620361,47.37470167064439,71.92294578929423,73.6230194568634,64.30688897226734,22.185430765151978,1.5579044818878174,0.9369146928798039
14,21.061262130737305,2.0515215396881104,12.249125480651855,6.760615825653076,46.249573815206276,71.1728605523355,73.84681105613708,63.756415141226285,23.803585052490234,1.555213212966919,0.9322301194154049
15,21.02088737487793,1.9099498987197876,12.203707695007324,6.907229900360107,47.817933856120014,71.73542448005456,73.17758798599243,64.24364877405567,25.44533085823059,1.577056646347046,0.9275689688183278
16,20.342018127441406,1.8996340036392212,11.815470695495605,6.626913547515869,48.1418342993522,72.12751449028299,73.72222542762756,64.66385807242091,27.065662384033203,1.5584607124328613,0.9229311239742362
