epochs,losses,size_losses,religion_losses,ethnicity_losses,religion_accuracies,ethnicity_accuracies,size_accuracies,relative_size_accuracies,overall_accuracies,cumulative_time_seconds,epoch_time_seconds,tau_values
1,31.65362548828125,7.986375331878662,13.263819694519043,10.403429985046387,44.52767374115689,63.49008184214176,16.3668430335097,48.46092503987241,52.159560207723686,9.338964223861694,9.338964223861694,0.995
2,29.794483184814453,6.359375,13.086194038391113,10.348916053771973,44.541545290608966,64.01720072132056,17.319223985890652,51.79425837320575,53.45100146171177,14.112738847732544,4.555123805999756,0.990025
3,28.77255630493164,5.224259853363037,13.103167533874512,10.44512939453125,44.38895824663615,63.11555000693577,16.684303350970016,53.22966507177034,53.57805777511408,24.627872467041016,10.231064796447754,0.985074875
4,27.670711517333984,4.396399021148682,12.908459663391113,10.365852355957031,45.41545290608961,62.616174226661116,17.389770723104057,55.94098883572568,54.6575386561588,33.40072727203369,8.506787061691284,0.9801495006250001
5,26.726253509521484,3.78017520904541,12.65668773651123,10.289389610290527,46.67776390622833,63.17103620474407,18.90652557319224,57.631578947368425,55.82679301944694,42.22546410560608,8.552627325057983,0.9752487531218751
6,26.326904296875,3.370272397994995,12.60300350189209,10.353628158569336,46.13677347759745,63.933971424608124,19.788359788359788,59.8006379585327,56.62379428691276,52.77578067779541,10.291347742080688,0.9703725093562657
7,25.655170440673828,3.1126036643981934,12.39379596710205,10.148772239685059,46.636149257872106,63.57331113885421,18.589065255731924,59.99202551834131,56.73382863835587,56.95336079597473,3.905579090118408,0.9655206468094844
8,25.385635375976562,2.817737340927124,12.345788955688477,10.222108840942383,46.247745873214036,64.25301706200582,18.659611992945326,60.82137161084529,57.10737818202172,61.22354602813721,3.999880075454712,0.960693043575437
9,24.51512908935547,2.6151785850524902,11.901579856872559,9.998372077941895,47.71813011513386,64.90497988625329,20.84656084656085,62.83094098883573,58.48468366340763,65.63134050369263,4.138821125030518,0.9558895783575597
10,24.12851905822754,2.5722579956054688,11.567025184631348,9.989235877990723,47.91233180746289,63.906228325703985,19.717813051146386,61.9377990430622,57.91878639207636,70.02652931213379,4.103113412857056,0.9511101304657719
11,23.717987060546875,2.5564663410186768,11.448555946350098,9.712965965270996,48.397836038285476,66.45859342488556,20.811287477954142,62.49601275917065,59.11748074078056,74.34638595581055,4.047106742858887,0.946354579813443
12,23.19207000732422,2.418527841567993,11.146140098571777,9.627402305603027,49.299486752670276,65.90373144680261,21.128747795414462,63.69218500797449,59.63180106914913,78.74354791641235,4.111887454986572,0.9416228069143757
13,22.380786895751953,2.4399921894073486,10.527946472167969,9.412847518920898,51.17214592870024,66.55569427105009,20.246913580246915,63.18181818181819,60.303219460522826,83.13460421562195,4.122061491012573,0.9369146928798039
14,21.840381622314453,2.3738460540771484,10.187287330627441,9.27924919128418,51.49119156609794,66.62505201831046,19.788359788359788,62.62360446570974,60.24661601670604,87.56855988502502,4.147718906402588,0.9322301194154049
15,21.76589012145996,2.487919807434082,10.059606552124023,9.218363761901855,51.94895269801637,66.41697877652933,20.317460317460316,62.001594896331746,60.122508790292486,91.72147345542908,3.8739027976989746,0.9275689688183278
16,20.835655212402344,2.431246757507324,9.520245552062988,8.884162902832031,53.2528783465113,67.45734498543487,22.186948853615522,63.81977671451355,61.510000015486575,95.82368516921997,3.810465097427368,0.9229311239742362
17,20.551326751708984,2.564655065536499,9.268350601196289,8.718320846557617,53.96032736856707,68.01220696351783,20.98765432098765,62.878787878787875,61.61710740362426,99.90755414962769,3.7980141639709473,0.918316468354365
18,19.69684410095215,2.623784303665161,8.602885246276855,8.470174789428711,55.79137189624082,68.23415175475101,21.340388007054674,63.02232854864434,62.34928406654539,103.94658160209656,3.7583134174346924,0.9137248860125932
19,18.845142364501953,2.5993072986602783,8.137409210205078,8.10842514038086,56.94271050076294,68.69191288666944,21.199294532627867,63.29346092503987,62.97602810415741,107.89563083648682,3.6881306171417236,0.9091562615825302
20,18.072307586669922,2.7886855602264404,7.706107139587402,7.577515602111816,57.67790262172284,69.66292134831461,21.58730158730159,62.92663476874003,63.422486246259155,111.84375333786011,3.68916392326355,0.9046104802746175
21,17.465770721435547,2.7980034351348877,7.244449138641357,7.423318862915039,59.217644610903044,70.71715910667221,20.211640211640212,62.01754385964912,63.984115859074784,115.9153892993927,3.794027328491211,0.9000874278732445
22,16.989171981811523,3.0100150108337402,6.991843223571777,6.987313747406006,59.52281869884865,70.52295741434318,20.84656084656085,62.06539074960127,64.03705562093104,119.87928485870361,3.6989736557006836,0.8955869907338783
23,16.040786743164062,3.0948336124420166,6.359471797943115,6.58648157119751,61.92259675405742,72.13205715078375,20.88183421516755,61.65071770334929,65.23512386939682,129.00717115402222,8.849799871444702,0.8911090557802088
24,15.76732063293457,3.1380090713500977,6.215908050537109,6.413403511047363,63.03232071022333,72.88112082119574,20.776014109347443,62.192982456140356,66.03547466251982,138.90421986579895,9.6099374294281,0.8866535105013078
25,14.94830322265625,3.2562992572784424,5.7149505615234375,5.977053165435791,64.40560410597864,72.97822166736024,20.84656084656085,61.28389154704944,66.22257244012944,147.15051674842834,7.963293790817261,0.8822202429488013
26,14.363897323608398,3.2361578941345215,5.361433029174805,5.766305923461914,65.11305312803441,73.96310167845749,21.05820105820106,62.22488038277512,67.10034506308901,156.36032557487488,8.952047109603882,0.8778091417340573
27,13.61823844909668,3.497098922729492,5.030034065246582,5.0911054611206055,66.37536412817312,73.31113885421001,19.717813051146386,61.140350877192986,66.94228461985871,164.85847854614258,8.233200311660767,0.8734200960253871
28,13.059303283691406,3.686652898788452,4.730827331542969,4.6418232917785645,67.85961991954501,74.54570675544458,20.317460317460316,61.50717703349282,67.97083456949414,173.78343987464905,8.650331735610962,0.8690529955452602
29,12.638978004455566,3.541808605194092,4.578947067260742,4.518221855163574,68.2896379525593,74.18504646969066,20.88183421516755,62.78309409888357,68.41925950704452,182.16064929962158,8.105265140533447,0.8647077305675338
30,12.256599426269531,3.4075300693511963,4.307251453399658,4.541817665100098,68.78901373283396,74.72603689832155,22.328042328042326,62.89473684210527,68.80326249108691,192.5683877468109,10.128942489624023,0.8603841919146962
